Latitude,Longitude,Pb,Cu,Region
42.982913,-83.656,1,40,South
42.982885,-83.710853,1,100,South
42.982736,-83.700722,0,0,South
42.982671,-83.668103,0,70,South
42.982618,-83.706157,0,30,South
42.982042,-83.661233,0,0,South
42.981181,-83.695724,0,60,South
42.97997,-83.653988,0,230,South
42.970506,-83.688857,0,0,South
42.965498,-83.702403,0,0,South
42.957507,-83.684653,0,0,South
42.939731,-83.686949,0,135,South
